text,encoded
Excellent pricing and easy transaction from purchase to fitting.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Great tires, good delivery service.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Quick, easy and reasonably priced","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great price and local choice of locations to fit tyres.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Very good cheap too,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent value and [REDACTED] kept me informed about the progression of my order.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great prices. Easy to use local trusted garage.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Good price, quality tyres and Frank Shaikley Colchester provided excellent customer service fitting.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent service and great price,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good service competitive prices had to wait a little longer than expected,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great prices and service. No problem when I needed to change the size of the tyres after I placed the order. Finally a company that listens and delivers.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Great prices, easy ordering and brilliant service.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Nothing outstanding, marginally cheaper but had fitting delayed","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Best prices and choice of local garages to have them fitted at my convenience.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Simply the best Online Tyre Retailer offering value and convenience,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"I could not fault either the service I received or the speed and quality of fitting....first class all around, highly recommended to anyone not aware of [REDACTED] value for money and customer care!","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
I'm pretty sure the tyres that were fitted in my car were not brand new,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Easy to find required tyres, competitive pricing and simple booking process. Have used them a few times now and will continue to do so.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good service with tyre at good price,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Just wonderful products and best of all, we can put total trust in the results!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Always a good service - always keep in touch every step of the process from ordering to fitting at the garage of your choice. Highly recommended.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"On time and efficient, good service.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
Tyres delivered and fitted on the date agree Car was ready when I called to see how work was progressing. Staff friendly.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Great service. Easy to order with a first class fitting service,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Great service. No fuss. Tyres fitted at my local preferred garage. Used for the second time. Will recommend.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Much cheaper than price quoted from another provider. Quick and professional fitting,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
"The guy who greated me basically just grunted at me. They did not replace my spare tyre and I had to go back to collect it, there was no apology for the mistake or for me having to take more time out from work to collect the tyre. One of my tyres then kept deflating and I once again had to go back to get this rectified. They guys on my 3rd visit were very nice but explained that the rim had not been prepared/ cleaned properly on the first fit nor was there enough sealant which is what caused the leak. Again no apology or any offer of recompense for my time or expence in 2 addition visits which were at [REDACTED] fault","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Pricing is very competitive and service offered by by local garage is excellent,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
First class service and great choice and prices,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great price fast delivery to my local trusted tyre fitter,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
The whole experience from purchasing the tyres on line and to then having them fitted was faultless.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Great price, quick service and superb quality tyres. [REDACTED] we're brilliant communicating with me when the garage had a problem fitting me in on the slot I selected online and were great and making sure I was booked in as soon as possible. Would totally recommend this service to all car users!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
"Good prices,service and on time, in fact early, Ray your fitter nice bloke very quick and thorough thanks.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
Was so easy to find the tyres to fit my vehicle. There was a garage within less than a mile from me. They were very efficient and so helpful. Have used [REDACTED] a few times now. Never had a problem. Would recommend them every time.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"Fantastic local fitting service, great pricing and easy transaction with good comms too.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Best value after checking many tyre companies on the web. Service at ATS was speedy and friendly,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Initially you stated 2 to 3 days to supply my special tyre. You managed to find a local dealer who had the right tyre and I was back on the road in 5 hours,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
"Excellent service, easy to use. Great prices","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Excellent rates, clear process and description.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
It allows you to take your time and compare different tyres in your own time without any pressure. Good deals and easy to book with large selection of local garages.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
It was easy to find the tyres I needed and close to home for fitting,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Easy to access the site, choice of tyres and straight forward booking, tyres fitted on nominated day, hassle free good price, will use them again.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent tyres. Good tyres I will recommend their products to anyone that wants to buy.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Competitively priced,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent service. Easy to navigate website and foundtyres required at reasonable price . Delivered next day and ATS garage fitted them in Peterborough. The fitters Dave and Mark were really helpful and I couldn't ask for better service,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great experience buying my tyres online and having them fitted at my local dealer cheaper than the garage could offer for less the price,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"I suppose the only “complaint” is that I could not wait on site for the tyres to be done. The tyre fitter was busy, although I had arrived at opening hours on a Saturday morning on their recommendation and had to leave my car for three hours. It would have been acceptable if I had had a hard and fast appointment time.Otherwise the tyre changes were as expected. Two thumbs up there.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Grwat service and prices.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"So easy, excellent service centre and great price","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great service at amazing prices . Will be going back and have recomended to friends and family,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Was messed around quite a lot - times rearranged due to tyres not being delivered, then put back to the original appointment - without cancellung the changed one. Will go directly through the garage next time. [REDACTED] messed me about too much for the same price as the garage would have given without them.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Fantastic quick service from friendly and helpful team. Excellent range of tyres available at great prices with superb support.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great value and choice - and so easy to use,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
superb quality easy to order fitted at mconechy's in airdrie staff were great! superb cus,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Easy to book, fair price, everything very simple at the garage.Good choice of garages in my local area","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
The choice of tyres is excellent with a range of fitting centres nearby,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Easy to use website, nice customer support and the fact that I have made a mistake choosing my tires, and was catched by the after sales process.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Service given quickly, very helpful and friendly gent dealt with me!","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"We booked to have our tyre fitted as we were going on holiday, unfortunately we got a email the evening before stating our tyres had not been delivered and we would have to wait 4 days,we rang them the next day they were so unhelpful saying they didn’t have time to ring round dealers to check if they had our tyres, Avoid","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Staff very helpful and professional. Proper!!,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Website really easy to use. I logged on in the morning, following a flat that required replacement tyre. I booked in to a local garage for the following morning but rang on the off chance that afternoon & they sorted me that day. This is the 3rd time I’ve used [REDACTED] and to be honest I wouldn’t do it any other way now.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Been using BC for a number of years, always simple and easy, I like the option to have a mobile fitter visit me rather than driving to a local garage.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Motorvation Northampton. Easy to buy. Excellent garage nearby with exceptional customer service. Completed work on the day. Also requested replacement break pads. The price for this extra work was very competitive. Overall very pleased will recommend others and I am using garage again for forthcoming MOT.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great service and good price for tyres,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"reasonably priced ,good choice of fitting garages. speedy delivery.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Excellent service. Not the cheapest but not far away. The centre used was exemplary, fast service.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Excellent quality and price at [REDACTED].,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
There was a mix up regarding appointment times,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"I keep coming back cos. I keep coming back to [REDACTED] because of the ease in ordering, I can use a local garage and I believe that the tires are sold at a competitive price - all works for me. Thanks","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Straightforward, easy, speedy, and trustworthy service, both for buying and fitting tyres.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Process good but awaiting investigation inyo customer service of tyre fitters,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The ordering process is very easy to use and convenient. It allows you to book a fitting at the nearest garage. I placed the order on Wednesday for a Friday fitting. On Thursday afternoon I received an email stating there was an issue delivering my tyre to the garage and that my fitting was being rebooked to Tuesday. I had to phone [REDACTED] as I had already made arrangements and taken time off work to have the fitting on Friday. I am reliant on my vehicle for transport to work and of course this meant that I would be without a vehicle for another 4 days!. [REDACTED] were unable to keep the Friday booking and I was offered a small compensation by the rep on the phone. I kept the booking on Tuesday as the tyre which I ordered was only available through [REDACTED]. Come Tuesday there was no further problems the garage I chose was spot on. I awaited the compensation to be refunded back. Another week goes by and there was no sign of any compensation or any communication. So I rang [REDACTED] who told me there was no note on their system regarding me being given any compo.This was sorted the following day and I did receive the amount promised.Overall I would say this was a rough ride ordering from [REDACTED]. It's a shame they are failing at such little things and leave you stranded. The whole point of ordering a tyre from the internet is so that it is convenient and reliable. Unfortunately I can't say this about [REDACTED] at this point in time.If you are pushed for time I would rather recommend going to a local garage and pay the premium but get your tyres done the same day.,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Good service by [REDACTED]. [REDACTED] provided a good service at a good price. Only let down was the filters at the local garage they also did a good job but could have been more careful around the cars with jacks and tools and could have taken more care with my diamond cut alloys. They didn’t cause any damage but the potential to have caused damage was quite high.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
The tyres are good value but the service at my local place (VGS High Wycombe) is abysmal. I have taken the car their twice to have your tyres fitted and both times they were unbearably slow in doing the job and totally lacking in any customer communication ability.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Shocking service ordered a tyre on Thursday to be fitted on Saturday at 10am on Friday morning told won't be fitted as tyre not delivered rang up only to be told that tyre will be at garage to go for fitting at 12pm on Saturday Friday evening got a email stating my booking had been cancelled and changed for following Wednesday. Rang garage up on Saturday morning and my tyre was there so took car in for 12pm what a joke,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Great service great price , everything they said it would be","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good tyres. Got good tyres and work well on my mini cooper,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Great booking system but garage was poor tyres still covered with the white stuff they use to fit them. Looked a mess.,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Good services good people to deal with at the workshop.Will use this service next time I need tryres,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Easy process to book, no hassle in fitting - perfect","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Postponed fitting date, no information from your staff, lied to from your staff so they don't lose my sale, staff could not decide when my tyres would arrive and didn't know where they were, gave me two fitting times that were different from my original postponed time, clueless as to what was happening and I had to deal directly with the garage to arrange a fitting date.","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The tyres in the end are excellent, but fitting them involved two visits as [REDACTED] sent the garage the wrong size tyres, due to mis-labeling. Then had to wait on the phone for a long time to report the issue.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
"great price, great service.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Great choice, quick service and excellent garage for fitting","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"I have used [REDACTED] for many years via my local garage and always had great service, I have just had cause while on holiday to use [REDACTED] 200 hundred miles from home,and service from them and their appointed garage Harris Brothers was again 5 star.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Good Service and value. Good value and even when I made a mistake they recognised it and contacted me and sorted it all out. Great service also from McConnachies in Sighthill, Edinburgh who fitted the tyres.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Very efficient and simple procedure and a good price.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Very good price and easy to choose fitting time and date very good quality contáis on my mercReally pleased,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Massive selection of tyres on all sizes, selected fitted option with appointment and fitted on the day selected excellent service","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Easy to choose the tyres i wanted and where to have them fitted,when i arrived to have them fitted the company were very efficient.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"The discount wasnt done automatically, and ended up paying the extra £20!!","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Good work. Two front tyres changed - no issues, would definitely use again and recommend.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Used [REDACTED] twice. First was good second was poor,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Purchasing tyres was easy. Getting them fitted was a complete nightmare.- 14/08. Arrived at 7.45am for an 8am fitting. I left the garage at 11am. I complained at the timeabout the time it took took replace the 4 tyres. - 15/08. Started vehicle at 7.30am to drive to work. Tyre pressure warning light came on so checked tyres. Rear driver side tyre low as tyre was leaking air. Also noticed the tyre fitters had damaged wheels. Had to drive to the fitters to sort out air leak and complained about fresh damage to wheels. Took abou half for them to sort wheels and decided I would complain in writing rather than confront the fitters as at the time I was and am fuming. - 15/08. MOT booked in with BMW. Car passed MOT. However I was advised that the front brake pad warning wire was hanging. Had to book car in again on the 18/08 to be rectified.19/08. BMW checked the front brake pad warning wire. Brake Pads and discs replaced by BMW in March and was advised by BMW that the front brake pad warning compartment was cracked and the wire left hanging when the tyres were changed.Im not one to complain. However all the above are unacceptable.I will be pursuing this......,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Easy to find the correct tyres and local fitter. Competitive prices. Easy booking slot with fitter.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"Excellent service, great prices, 1st class","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Great service and good prices. The web site is one of the best.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Great price, easy ordering","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Good price and choice. easy to use.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Excellent service. Easy straightforward website. Brilliant customer service,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Good selection of tyres. Easy to use website. Very good fitting service.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Used [REDACTED] many times now and I always get a great service. Very competitive costs to boot.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Booked tyres and timeslot through [REDACTED] but when I turned up was turned away as my car hadn't been booked in, I lost a couple of hours pay as left work early to get my tyres fitted, wasn't happy! Had to go back another day.","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Great prices simple process,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Easy process to follow and faultless fitment makes [REDACTED] an easy recommendation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Great job done very well. Left my keys with the man behind the desk, waited in customers waiting room, had a cuppa then before you know it car is all done. Was meant to have free brake and winter check but couldn't wait but have been told I can get it done any time, just got to ring and make an appointment.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Excellent. Good price, excellent choice of tyres, quick response and the fitter was early and couldn't have been more helpful","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
